,customer_id,age,gender,city,email
0,C000001,61,Other,Lisbon,user1@example.com
1,C000002,61,Female,Coimbra,user2@example.com
2,C000003,22,Female,Faro,user3@example.com
3,C000004,46,Other,Lisbon,missing@email.com
4,C000005,47,Other,Faro,user5@example.com
5,C000006,59,Female,Faro,user6@example.com
6,C000007,52,Female,Faro,user7@example.com
7,C000008,59,Other,Lisbon,user8@example.com
8,C000009,49,Female,Braga,user9@example.com
9,C000010,48,Male,Braga,user10@example.com
10,C000011,20,Male,Braga,user11@example.com
11,C000012,32,Female,Coimbra,user12@example.com
12,C000013,49,Other,Porto,user13@example.com
13,C000014,45,Male,Faro,user14@example.com
14,C000015,18,Male,Faro,user15@example.com
15,C000016,23,Female,Lisbon,user16@example.com
16,C000017,27,Female,Faro,user17@example.com
17,C000018,63,Other,Porto,missing@email.com
18,C000019,52,Female,Porto,user19@example.com
19,C000020,68,Other,Coimbra,user20@example.com
20,C000021,62,Female,Lisbon,user21@example.com
21,C000022,23,Female,Lisbon,user22@example.com
22,C000023,40,Male,Braga,user23@example.com
23,C000024,42,Female,Faro,user24@example.com
24,C000025,29,Male,Braga,user25@example.com
25,C000026,65,Other,Faro,user26@example.com
26,C000027,36,Male,Porto,user27@example.com
27,C000028,25,Male,Faro,missing@email.com
28,C000029,51,Male,Porto,user29@example.com
29,C000030,37,Other,Coimbra,user30@example.com
30,C000031,31,Other,Coimbra,user31@example.com
31,C000032,36,Male,Faro,user32@example.com
32,C000033,39,Male,Porto,user33@example.com
33,C000034,26,Male,Lisbon,user34@example.com
34,C000035,27,Male,Porto,user35@example.com
35,C000036,54,Male,Porto,user36@example.com
36,C000037,50,Male,Lisbon,user37@example.com
37,C000038,40,Other,Lisbon,missing@email.com
38,C000039,67,Male,Lisbon,user39@example.com
39,C000040,54,Male,Lisbon,user40@example.com
40,C000041,21,Other,Faro,user41@example.com
41,C000042,52,Other,Coimbra,user42@example.com
42,C000043,55,Female,Lisbon,user43@example.com
43,C000044,35,Male,Faro,user44@example.com
44,C000045,51,Other,Coimbra,user45@example.com
45,C000046,64,Male,Porto,user46@example.com
46,C000047,22,Male,Coimbra,user47@example.com
47,C000048,19,Male,Porto,user48@example.com
48,C000049,38,Female,Braga,user49@example.com
49,C000050,29,Other,Porto,user50@example.com
50,C000051,44,Other,Braga,user51@example.com
51,C000052,39,Female,Porto,user52@example.com
52,C000053,35,Female,Faro,user53@example.com
53,C000054,43,Female,Coimbra,missing@email.com
54,C000055,49,Female,Coimbra,user55@example.com
55,C000056,65,Other,Coimbra,user56@example.com
56,C000057,67,Other,Braga,user57@example.com
57,C000058,59,Other,Porto,user58@example.com
58,C000059,68,Female,Lisbon,user59@example.com
59,C000060,52,Other,Coimbra,user60@example.com
60,C000061,68,Male,Coimbra,user61@example.com
61,C000062,58,Male,Faro,user62@example.com
62,C000063,67,Other,Coimbra,user63@example.com
63,C000064,44,Male,Coimbra,user64@example.com
64,C000065,49,Female,Braga,user65@example.com
65,C000066,21,Other,Braga,user66@example.com
66,C000067,63,Female,Coimbra,user67@example.com
67,C000068,56,Other,Braga,user68@example.com
68,C000069,59,Other,Coimbra,user69@example.com
69,C000070,33,Female,Lisbon,user70@example.com
70,C000071,64,Male,Faro,user71@example.com
71,C000072,29,Other,Porto,user72@example.com
72,C000073,67,Male,Porto,user73@example.com
73,C000074,54,Other,Braga,user74@example.com
74,C000075,36,Other,Porto,user75@example.com
75,C000076,47,Male,Porto,user76@example.com
76,C000077,30,Male,Lisbon,user77@example.com
77,C000078,35,Male,Lisbon,user78@example.com
78,C000079,48,Other,Braga,user79@example.com
79,C000080,18,Female,Lisbon,user80@example.com
80,C000081,45,Female,Coimbra,user81@example.com
81,C000082,45,Male,Lisbon,user82@example.com
82,C000083,22,Female,Porto,user83@example.com
83,C000084,18,Other,Faro,user84@example.com
84,C000085,28,Other,Lisbon,user85@example.com
85,C000086,53,Male,Lisbon,user86@example.com
86,C000087,59,Other,Faro,user87@example.com
87,C000088,69,Female,Porto,user88@example.com
88,C000089,44,Male,Lisbon,user89@example.com
89,C000090,18,Male,Faro,user90@example.com
90,C000091,47,Other,Faro,user91@example.com
91,C000092,59,Male,Faro,user92@example.com
92,C000093,19,Other,Braga,user93@example.com
93,C000094,16,Female,Faro,user94@example.com
94,C000095,69,Other,Lisbon,user95@example.com
95,C000096,28,Other,Faro,user96@example.com
96,C000097,22,Male,Coimbra,user97@example.com
97,C000098,27,Male,Braga,user98@example.com
98,C000099,21,Male,Porto,user99@example.com
99,C000100,26,Male,Coimbra,user100@example.com
100,C000101,45,Other,Braga,user101@example.com
101,C000102,20,Female,Coimbra,user102@example.com
102,C000103,23,Other,Lisbon,user103@example.com
103,C000104,48,Male,Braga,user104@example.com
104,C000105,64,Male,Lisbon,user105@example.com
105,C000106,18,Male,Faro,user106@example.com
106,C000107,43,???,Coimbra,user107@example.com
107,C000108,20,Female,Lisbon,user108@example.com
108,C000109,56,Male,Porto,user109@example.com
109,C000110,55,Male,Coimbra,user110@example.com
110,C000111,33,Female,Coimbra,user111@example.com
111,C000112,40,Other,Porto,user112@example.com
112,C000113,38,Other,Braga,user113@example.com
113,C000114,39,Male,Porto,user114@example.com
114,C000115,27,Female,Faro,user115@example.com
115,C000116,39,Female,Faro,user116@example.com
116,C000117,23,Female,Porto,user117@example.com
117,C000118,62,Other,Porto,user118@example.com
118,C000119,37,Male,Coimbra,user119@example.com
119,C000120,47,Female,Braga,user120@example.com
120,C000121,49,Female,Lisbon,user121@example.com
121,C000122,54,Female,Lisbon,user122@example.com
122,C000123,42,Female,Braga,user123@example.com
123,C000124,45,Female,Braga,user124@example.com
124,C000125,62,Female,Coimbra,user125@example.com
125,C000126,21,Other,Lisbon,user126@example.com
126,C000127,24,Female,Porto,user127@example.com
127,C000128,69,Female,Faro,user128@example.com
128,C000129,65,Other,Coimbra,user129@example.com
129,C000130,59,Female,Coimbra,user130@example.com
130,C000131,65,Male,Coimbra,user131@example.com
131,C000132,37,Other,Lisbon,user132@example.com
132,C000133,28,Other,Coimbra,user133@example.com
133,C000134,25,Female,Braga,user134@example.com
134,C000135,30,Female,Lisbon,user135@example.com
135,C000136,38,Male,Coimbra,user136@example.com
136,C000137,60,Female,Faro,user137@example.com
137,C000138,30,Other,Coimbra,user138@example.com
138,C000139,40,Other,Coimbra,user139@example.com
139,C000140,52,Other,Lisbon,missing@email.com
140,C000141,40,Other,Coimbra,user141@example.com
141,C000142,17,Male,Coimbra,user142@example.com
142,C000143,28,Female,Coimbra,user143@example.com
143,C000144,34,Male,Braga,user144@example.com
144,C000145,18,Male,Porto,user145@example.com
145,C000146,19,Female,Porto,user146@example.com
146,C000147,55,Male,Lisbon,user147@example.com
147,C000148,39,Female,Lisbon,user148@example.com
148,C000149,36,Female,Coimbra,user149@example.com
149,C000150,46,Female,Coimbra,user150@example.com
150,C000151,38,Other,Braga,user151@example.com
151,C000152,44,Female,Faro,user152@example.com
152,C000153,68,Other,Coimbra,user153@example.com
153,C000154,43,Male,Porto,user154@example.com
154,C000155,30,Female,Braga,user155@example.com
155,C000156,58,Male,Faro,user156@example.com
156,C000157,18,Male,Coimbra,user157@example.com
157,C000158,58,Other,Lisbon,user158@example.com
158,C000159,18,Female,Braga,user159@example.com
159,C000160,55,Male,Faro,user160@example.com
160,C000161,46,Male,Braga,user161@example.com
161,C000162,61,Female,Faro,user162@example.com
162,C000163,31,Female,Faro,user163@example.com
163,C000164,51,Female,Porto,user164@example.com
164,C000165,64,Female,Braga,user165@example.com
165,C000166,19,Other,Faro,user166@example.com
166,C000167,63,Female,Coimbra,user167@example.com
167,C000168,68,Male,Braga,user168@example.com
168,C000169,35,Other,Lisbon,user169@example.com
169,C000170,49,Female,Porto,user170@example.com
170,C000171,60,Male,Lisbon,user171@example.com
171,C000172,55,Male,Braga,user172@example.com
172,C000173,30,Female,Braga,user173@example.com
173,C000174,43,Male,Lisbon,user174@example.com
174,C000175,31,Male,Lisbon,user175@example.com
175,C000176,69,Other,Porto,user176@example.com
176,C000177,58,Other,Lisbon,user177@example.com
177,C000178,58,Other,Coimbra,user178@example.com
178,C000179,44,Male,Porto,user179@example.com
179,C000180,53,Other,Faro,user180@example.com
180,C000181,48,Other,Lisbon,user181@example.com
181,C000182,54,Other,Lisbon,user182@example.com
182,C000183,23,Other,Braga,missing@email.com
183,C000184,68,Female,Lisbon,user184@example.com
184,C000185,48,Other,Lisbon,user185@example.com
185,C000186,17,Male,Braga,user186@example.com
186,C000187,20,Female,Coimbra,user187@example.com
187,C000188,63,Female,Braga,user188@example.com
188,C000189,46,Other,Lisbon,user189@example.com
189,C000190,17,Other,Braga,user190@example.com
190,C000191,21,Female,Braga,user191@example.com
191,C000192,40,Male,Lisbon,user192@example.com
192,C000193,52,Female,Faro,user193@example.com
193,C000194,61,Other,Lisbon,user194@example.com
194,C000195,21,Other,Porto,user195@example.com
195,C000196,45,Male,Lisbon,user196@example.com
196,C000197,51,Female,Lisbon,user197@example.com
197,C000198,66,Female,Faro,user198@example.com
198,C000199,41,Female,Coimbra,user199@example.com
199,C000200,26,Female,Coimbra,user200@example.com
200,C000201,32,Male,Braga,user201@example.com
201,C000202,43,Other,Lisbon,user202@example.com
202,C000203,53,Other,Porto,user203@example.com
203,C000204,60,Male,Braga,user204@example.com
204,C000205,49,Other,Braga,user205@example.com
205,C000206,46,Female,Faro,user206@example.com
